phase,measure,ms
both,query,3.9353
both,query,3.1249
both,query,1.4719
both,query,5.0967
both,query,4.5030
both,query,3.0930
both,query,4.4882
both,query,2.8737
both,query,2.3483
both,query,4.1094
both,query,5.2632
both,query,8.1810
both,query,5.7962
both,query,4.3011
both,query,6.6569
both,query,7.8288
both,query,6.3027
both,query,6.8691
both,query,4.6702
both,query,6.5982
both,query,11.9948
both,query,7.3564
both,query,6.0344
both,query,4.1287
both,query,3.9929
both,query,5.5836
both,query,7.2837
both,query,3.2101
both,query,2.7054
both,query,4.0833
both,query,2.0940
both,query,1.6672
both,query,3.1661
both,query,4.8015
both,query,4.4001
both,query,7.2147
both,query,3.5869
both,query,3.3502
both,query,3.3579
both,query,2.6949
both,query,5.7489
both,query,5.3209
both,query,3.7695
both,query,12.2831
both,query,4.3357
both,query,4.9691
both,query,3.5076
both,query,4.4429
both,query,8.6022
both,query,18.3056
both,query,1.6655
both,query,3.9915
both,query,14.6092
both,query,2.7721
both,query,1.4924
both,query,4.0715
both,query,5.0793
both,query,4.2899
both,query,4.7590
both,query,4.4378
both,query,4.7737
both,query,5.5409
both,query,3.9573
both,query,6.4122
both,query,4.4606
both,query,4.2748
both,query,2.4338
both,query,9.3973
both,query,4.1175
both,query,5.0749
both,query,3.3310
both,query,3.5529
both,query,5.3302
both,query,7.0189
both,query,3.9133
both,query,4.8730
both,query,4.2910
both,query,2.4563
both,query,3.8398
both,query,2.7672
both,query,2.3125
both,query,8.5381
both,query,7.8606
both,query,5.5605
both,query,5.4405
both,query,3.1737
both,query,1.9372
both,query,7.8329
both,query,4.4352
both,query,3.5386
both,query,8.8093
both,query,6.6607
both,query,10.2280
both,query,6.9563
both,query,3.0295
both,query,2.5827
both,query,3.4600
both,query,3.9658
both,query,6.3264
both,query,4.6865
both,query,7.7184
both,query,7.9673
both,query,8.7998
both,query,3.5394
both,query,7.4644
both,query,4.8448
both,query,8.1960
both,query,4.0932
both,query,7.9420
both,query,5.9994
both,query,2.6714
both,query,15.7509
both,query,6.3792
both,query,6.9971
both,query,4.5565
both,query,8.3819
both,query,3.0487
both,query,4.2090
both,query,7.3365
both,query,4.6528
both,query,6.7790
both,query,3.9515
both,query,3.2613
both,query,5.0462
both,query,6.1391
both,query,5.1810
both,query,5.4992
both,query,5.3183
both,query,5.1783
both,query,4.1569
both,query,6.9616
both,query,10.3004
both,query,3.7904
both,query,2.9186
both,query,3.4430
both,query,7.3492
both,query,5.0196
both,query,4.0100
both,query,1.1892
both,query,5.3184
both,query,3.6187
both,query,2.5073
both,query,3.4367
both,query,5.9816
both,query,4.0918
both,query,3.1004
both,query,3.0991
both,query,2.8235
both,query,1.7132
both,query,3.2313
both,query,9.4791
both,query,3.0927
both,query,4.7867
both,query,2.8174
both,query,2.0879
both,query,2.0409
both,query,4.8017
both,query,4.2165
both,query,5.2904
both,query,3.9715
both,query,2.4270
both,query,2.3239
both,query,4.0549
both,query,3.2281
both,query,5.1504
both,query,2.9930
both,query,4.4554
both,query,4.9352
both,query,4.3944
both,query,13.1794
both,query,12.1476
both,query,3.4430
both,query,3.7557
both,query,4.4660
both,query,4.9436
both,query,5.8261
both,query,6.7806
both,query,5.2720
both,query,3.7113
both,query,5.2831
both,query,4.1083
both,query,9.8010
both,query,2.6584
both,query,10.8270
both,query,1.9730
both,query,3.1105
both,query,14.4737
both,query,2.2035
both,query,7.7154
both,query,4.8282
both,query,3.5638
both,query,7.6796
both,query,4.9228
both,query,3.2975
both,query,4.4380
both,query,1.6756
both,query,1.9498
both,query,6.9059
both,query,2.0794
both,query,2.2669
both,query,8.0410
both,query,5.3910
both,query,2.6688
both,query,3.4913
both,query,2.0448
both,query,1.3672
both,query,3.0023
both,query,6.1832
both,query,5.8847
both,query,3.5480
both,query,3.7523
both,query,8.1899
both,query,7.0184
both,query,5.1256
both,query,3.4983
both,query,2.7833
both,query,3.9007
both,query,4.0605
both,query,4.9045
both,query,3.5149
both,query,7.1967
both,query,4.7838
both,query,5.6208
both,query,3.9333
both,query,4.9069
both,query,2.7204
both,query,4.7401
both,query,5.0856
both,query,3.5579
both,query,4.4668
both,query,4.5790
both,query,8.9612
both,query,5.7474
both,query,6.4876
both,query,6.5881
both,query,3.6204
both,query,3.3807
both,query,3.5475
both,query,3.8257
both,query,10.7949
both,query,6.0395
both,query,5.0036
both,query,7.1855
both,query,4.4476
both,query,4.5795
both,query,2.5427
both,query,3.9686
both,query,3.5254
both,query,6.3957
both,query,2.7200
both,query,2.6397
both,query,5.3925
both,query,5.5648
both,query,4.7060
both,query,3.9475
both,query,2.5554
both,query,3.3746
both,query,4.8530
both,query,2.9491
both,query,4.3463
both,query,5.4846
both,query,3.5477
both,query,3.4418
both,query,5.6668
both,query,6.7287
both,query,7.4968
both,query,3.5951
both,query,2.7671
both,query,5.3450
both,query,7.2534
both,query,4.9080
both,query,7.7824
both,query,2.9308
both,query,6.4923
both,query,4.2212
both,query,4.7362
both,query,6.4858
both,query,5.0414
both,query,1.7764
both,query,5.1065
both,query,5.2885
both,query,2.7477
both,query,9.3704
both,query,8.0997
both,query,6.0928
both,query,4.1939
both,query,3.9411
both,query,4.9706
both,query,5.1528
both,query,15.2544
both,query,1.8798
both,query,3.5733
both,query,3.7442
both,query,1.7775
both,query,4.0783
both,query,7.4096
both,query,2.8396
both,query,3.3935
both,query,2.1406
both,query,3.0946
both,query,18.7431
both,query,2.5574
both,query,3.7224
both,query,3.7398
both,query,3.6419
both,query,2.2153
both,query,2.4046
both,query,3.6619
both,query,4.6516
both,query,3.7109
both,query,4.8081
both,query,3.3064
both,query,3.6401
both,query,2.7220
both,query,2.5533
both,query,2.3418
both,query,3.9986
both,query,5.6003
both,query,3.5935
both,query,5.8972
both,query,3.7476
both,query,5.8279
both,query,5.1875
both,query,3.8401
both,query,4.3654
both,query,3.0889
both,query,8.6620
both,query,5.9342
both,query,3.2993
both,query,6.4596
both,query,9.4165
both,query,3.4894
both,query,6.0625
both,query,4.1659
both,query,4.2851
both,query,5.8352
both,query,4.4166
both,query,3.9357
both,query,2.8145
both,query,4.6154
both,query,4.6885
both,query,6.7321
both,query,3.7406
both,query,4.1376
both,query,1.6647
both,query,4.0849
both,query,4.8740
both,query,2.3243
both,query,4.5818
both,query,3.4896
both,query,3.8653
both,query,4.0863
both,query,3.9296
both,query,2.5462
both,query,5.3366
both,query,4.8163
both,query,4.6938
both,query,2.3849
both,query,4.3528
both,query,4.9780
both,query,4.6174
both,query,4.5937
both,query,2.2000
both,query,12.1369
both,query,2.4075
both,query,2.1614
both,query,2.6484
both,query,6.1024
both,query,3.4704
both,query,6.4030
both,query,5.4116
both,query,8.0623
both,query,3.1408
both,query,4.2117
both,query,2.3236
both,query,14.4577
both,query,13.4984
both,query,1.4809
both,query,9.5597
both,query,1.7884
both,query,7.1311
both,query,7.7335
both,query,3.6913
both,query,7.4003
both,query,2.5672
both,query,9.7871
both,query,4.1358
both,query,7.6481
both,query,5.3859
both,query,3.8887
both,query,4.8661
both,query,4.5029
both,query,5.7735
both,query,14.6049
both,query,4.4444
both,query,2.7379
both,query,3.8629
both,query,4.1615
both,query,4.6648
both,query,4.9212
both,query,5.9093
both,query,7.0639
both,query,3.4771
both,query,3.3246
both,query,9.2299
both,query,5.1330
both,query,2.6724
both,query,5.4640
both,query,6.9443
both,query,3.8311
both,query,4.8308
both,query,2.9168
both,query,6.6144
both,query,3.2618
both,query,3.9925
both,query,2.6594
both,query,3.8021
both,query,5.8918
both,query,5.0068
both,query,3.3482
both,query,4.0637
both,query,2.6719
both,query,5.5766
both,query,3.7846
both,query,4.5002
both,query,1.8364
both,query,4.8155
both,query,5.6657
both,query,6.1920
both,query,3.9026
both,query,8.8377
both,query,5.2424
both,query,3.5822
both,query,4.4206
both,query,4.3255
both,query,4.1759
both,query,2.0407
both,query,3.6816
both,query,2.1534
both,query,6.9401
both,query,1.3917
both,query,7.1443
both,query,3.0496
both,query,5.5862
both,query,5.5256
both,query,14.9178
both,query,3.4595
both,query,4.0381
both,query,3.3146
both,query,3.2074
both,query,4.2518
both,query,3.3610
both,query,3.1594
both,query,6.6039
both,query,4.6802
both,query,2.3282
both,query,2.5847
both,query,5.0981
both,query,3.8962
both,query,5.2038
both,query,8.6017
both,query,4.2991
both,query,4.8190
both,query,3.7239
both,query,3.8771
both,query,4.6001
both,query,5.4585
both,query,2.3666
both,query,6.4474
both,query,4.1465
both,query,4.1285
both,query,4.4481
both,query,12.1728
both,query,5.4377
both,query,7.1600
both,query,8.5605
both,query,7.3162
both,query,5.6212
both,query,10.5512
both,query,7.5786
both,query,5.9691
both,query,6.4996
both,query,4.1443
both,query,3.8830
both,query,5.1715
both,query,4.6287
both,query,8.8405
both,query,9.4600
both,query,5.0229
both,query,3.7728
both,query,3.6920
both,query,4.3168
both,query,5.8052
both,query,3.1708
both,query,2.0345
both,query,3.0418
both,query,2.2227
both,query,2.0939
both,query,1.6538
both,query,1.1661
both,query,9.1496
both,query,3.8882
both,query,5.2292
both,query,3.8869
both,query,8.8819
both,query,4.7264
both,query,3.7971
both,query,3.7746
both,query,4.9272
both,query,8.5233
both,query,4.7700
both,query,3.5131
both,query,2.6533
both,query,3.5194
both,query,5.9983
both,query,2.5876
both,query,1.8071
both,query,6.6168
both,query,2.5006
both,query,3.2025
both,query,3.1351
both,query,2.1923
both,query,6.1651
both,query,4.0236
both,query,5.6863
both,query,8.8733
both,query,4.0487
both,query,4.2690
both,query,6.9118
both,query,9.0166
both,query,3.5474
both,query,5.0654
both,query,4.2260
both,query,5.7473
both,query,3.6309
both,query,4.8037
both,query,5.3878
both,query,3.6446
both,query,4.2322
both,query,2.4420
both,query,1.8972
both,query,4.4262
both,query,19.7563
both,query,3.3803
both,query,5.9434
both,query,5.0041
both,query,3.0731
both,query,4.8015
both,query,4.6143
both,query,1.6994
both,query,1.5849
both,query,2.4080
both,query,2.3658
both,query,3.7826
both,query,3.9637
both,query,2.3623
both,query,3.8638
both,query,3.4179
both,query,3.6972
both,query,2.6699
both,query,3.3721
both,query,3.2006
both,query,5.1564
both,query,3.9504
both,query,4.5289
both,query,3.4403
both,query,5.9487
both,query,9.1094
both,query,4.0875
both,query,1.8997
both,query,4.3180
both,query,4.0445
both,query,4.8748
both,query,6.9357
both,query,4.3385
both,query,9.5568
both,query,6.7485
both,query,5.4111
both,query,8.3532
both,query,6.1389
both,query,7.0502
both,query,2.9770
both,query,4.6573
both,query,5.5239
both,query,5.9381
both,query,12.1286
both,query,2.1835
both,query,5.4935
both,query,2.4165
both,query,5.2855
both,query,7.7050
both,query,3.1940
both,query,12.3565
both,query,4.4863
both,query,2.8096
both,query,4.1556
both,query,4.2551
both,query,4.0470
both,query,4.5675
both,query,3.0628
both,query,3.9395
both,query,4.3837
both,query,2.0676
both,query,7.9341
both,query,2.4490
both,query,5.6796
both,query,4.3123
both,query,6.6399
both,query,5.1566
both,query,6.6253
both,query,7.7976
both,query,12.5187
both,query,5.9628
both,query,4.3151
both,query,3.1244
both,query,3.8989
both,query,5.1042
both,query,5.5200
both,query,2.6417
both,query,4.2524
both,query,6.3450
both,query,5.5789
both,query,5.1114
both,query,6.0919
both,query,4.8113
both,query,14.7073
both,query,3.8478
both,query,4.5395
both,query,5.7137
both,query,5.9591
both,query,7.0804
both,query,3.1240
both,query,3.9783
both,query,4.8626
both,query,3.7556
both,query,1.8272
both,query,8.5078
both,query,5.9411
both,query,4.0730
both,query,4.4958
both,query,3.5128
both,query,2.8813
both,query,6.4494
both,query,3.0298
both,query,5.6075
both,query,15.6222
both,query,3.4476
both,query,7.9602
both,query,3.6041
both,query,2.9755
both,query,4.5338
both,query,2.9960
both,query,2.3049
both,query,4.1773
both,query,3.9493
both,query,5.9906
both,query,4.1641
both,query,2.5592
both,query,2.3768
both,query,4.8290
both,query,2.4949
both,query,3.5075
both,query,3.1760
both,query,2.6890
both,query,2.6425
both,query,7.7758
both,query,5.5112
both,query,7.5366
both,query,5.8997
both,query,2.9466
both,query,7.3631
both,query,2.0735
both,query,2.5917
both,query,4.0151
both,query,3.2816
both,query,4.9112
both,query,6.4802
both,query,8.7000
both,query,5.6787
both,query,3.4970
both,query,9.5627
both,query,4.6335
both,query,2.7428
both,query,3.6764
both,query,7.3200
both,query,7.9731
both,query,9.4785
both,query,11.3245
both,query,3.1547
both,query,6.1580
both,query,3.1543
both,query,3.2223
both,query,4.0765
both,query,3.0895
both,query,3.5268
both,query,5.6650
both,query,2.8577
both,query,3.9451
both,query,1.3210
both,query,1.5172
both,query,7.2504
both,query,4.0058
both,query,4.1531
both,query,3.1027
both,query,6.0589
both,query,4.5056
both,query,6.6972
both,query,8.2583
both,query,3.0797
both,query,8.8287
both,query,10.6669
both,query,1.7896
both,query,4.3221
both,query,3.9416
both,query,2.4663
both,query,5.1550
both,query,6.4786
both,query,3.5339
both,query,5.9654
both,query,4.1095
both,query,3.3814
both,query,1.8315
both,query,6.9744
both,query,3.9664
both,query,4.8784
both,query,4.8774
both,query,5.6672
both,query,5.1590
both,query,1.8419
both,query,10.6132
both,query,1.6557
both,query,6.1957
both,query,3.0041
both,query,3.5089
both,query,3.9911
both,query,4.6995
both,query,6.0558
both,query,1.2149
both,query,6.9098
both,query,2.8159
both,query,6.1629
both,query,1.6067
both,query,4.5507
both,query,5.4959
both,query,3.9015
both,query,2.5675
both,query,6.7951
both,query,11.9394
both,query,3.9317
both,query,1.8166
both,query,6.5630
both,query,6.1546
both,query,3.5583
both,query,4.2344
both,query,3.2061
both,query,4.9960
both,query,4.6873
both,query,5.1225
both,query,3.1657
both,query,4.2722
both,query,4.6906
both,query,5.7742
both,query,8.4784
both,query,4.9736
both,query,2.8461
both,query,3.4357
both,query,4.4520
both,query,5.3219
both,query,7.3649
both,query,2.6956
both,query,4.9275
both,query,3.6150
both,query,4.5941
both,query,6.4689
both,query,13.0528
both,query,2.1196
both,query,7.8324
both,query,7.0364
both,query,4.8866
both,query,13.7117
both,query,5.7975
both,query,6.0243
both,query,6.3248
both,query,7.8860
both,query,4.7664
both,query,16.5391
both,query,5.5843
both,query,4.3847
both,query,4.1088
both,query,15.0296
both,query,6.7315
both,query,3.3566
both,query,3.8292
both,query,2.8741
both,query,4.0434
both,query,1.8335
both,query,7.4847
both,query,4.1963
both,query,1.5524
both,query,1.6664
both,query,8.4175
both,query,3.8008
both,query,5.3504
both,query,2.6731
both,query,5.7928
both,query,3.1161
both,query,3.1068
both,query,2.9423
both,query,3.7579
both,query,7.6656
both,query,15.5147
both,query,4.7703
both,query,5.9029
both,query,4.1204
both,query,3.6234
both,query,11.4475
both,query,4.9381
both,query,3.7805
both,query,1.9507
both,query,4.3841
both,query,3.3418
both,query,4.3997
both,query,4.7320
both,query,3.3661
both,query,9.5330
both,query,5.8595
both,query,3.6719
both,query,3.8275
both,query,4.3422
both,query,2.4001
both,query,8.8256
both,query,3.8757
both,query,3.1890
both,query,5.2725
both,query,3.3816
both,query,4.9492
both,query,4.2843
both,query,4.7522
both,query,6.4837
both,query,2.6485
both,query,7.0054
both,query,4.6423
both,query,3.2704
both,query,3.8388
both,query,2.0723
both,query,3.0935
both,query,4.3642
both,query,1.6364
both,query,3.3262
both,query,2.7622
both,query,5.5115
both,query,2.5579
both,query,4.5448
both,query,5.1298
both,query,5.5575
both,query,4.9033
both,query,5.0416
both,query,8.1374
both,query,4.7186
both,query,3.0818
both,query,7.1130
both,query,5.7909
both,query,5.4635
both,query,5.4119
both,query,6.5776
both,query,6.7606
both,query,3.7343
both,query,5.9912
both,query,4.2550
both,query,3.9139
both,query,3.8598
both,query,5.4465
both,query,1.4555
both,query,1.9204
both,query,2.4747
both,query,7.7829
both,query,5.6048
both,query,6.3867
both,query,8.7939
both,query,3.7756
both,query,6.2166
both,query,3.9188
both,query,15.1620
both,query,10.1068
both,query,8.1691
both,query,14.0933
both,query,3.2930
both,query,6.0567
both,query,7.9812
both,query,13.8760
both,query,2.6534
both,query,5.4482
both,query,2.2466
both,query,3.2823
both,query,3.1550
both,query,2.7948
both,query,1.9395
both,query,2.8610
both,query,1.2424
both,query,1.9386
both,query,6.2348
both,query,4.6590
both,query,5.1837
both,query,8.3888
both,query,6.4331
both,query,5.4892
both,query,4.6771
both,query,2.7904
both,query,6.8501
both,query,3.6503
both,query,2.5595
both,query,5.5618
both,query,2.5975
both,query,5.1910
both,query,3.9189
both,query,5.8646
both,query,2.9219
both,query,3.3851
both,query,3.5011
both,query,4.7884
both,query,3.4882
both,query,5.0892
both,query,7.5772
both,query,2.4704
both,query,5.3317
both,query,4.1667
both,query,2.3880
both,query,6.7785
both,query,3.7165
both,query,5.1817
both,query,4.8277
both,query,6.8054
both,query,7.1012
both,query,2.7331
both,query,3.0680
both,query,4.4665
both,query,4.6790
both,query,3.1631
both,query,8.2649
both,query,5.6081
both,query,3.2606
both,query,4.7649
both,query,3.5206
both,query,3.6252
both,query,6.1998
both,query,3.6236
both,query,6.0507
both,query,3.8770
both,query,6.8281
both,query,3.2662
both,query,6.5936
both,query,3.1973
both,query,2.3057
both,query,3.0343
both,query,5.3920
both,query,5.4501
both,query,4.6071
both,query,3.7693
both,query,2.7465
both,query,3.0700
