phase,measure,ms
both,query,8.8876
both,query,4.9285
both,query,3.5745
both,query,5.6242
both,query,7.4850
both,query,2.9133
both,query,5.6643
both,query,3.8549
both,query,8.7592
both,query,5.1199
both,query,4.7076
both,query,3.9426
both,query,3.5239
both,query,3.7456
both,query,3.7080
both,query,2.6822
both,query,4.8969
both,query,3.3825
both,query,5.3829
both,query,3.4232
both,query,3.4166
both,query,4.3199
both,query,4.8487
both,query,5.4188
both,query,3.9398
both,query,3.0512
both,query,5.6887
both,query,3.3383
both,query,4.3545
both,query,1.4486
both,query,1.5000
both,query,1.6464
both,query,10.0983
both,query,2.9815
both,query,1.3142
both,query,1.2496
both,query,5.4056
both,query,4.3010
both,query,7.3488
both,query,3.5677
both,query,9.3949
both,query,5.1366
both,query,5.9535
both,query,6.8516
both,query,2.2919
both,query,2.1621
both,query,5.3479
both,query,3.9663
both,query,2.0263
both,query,5.9922
both,query,4.5593
both,query,10.1528
both,query,5.3409
both,query,3.9363
both,query,10.5094
both,query,2.9142
both,query,2.6818
both,query,1.8207
both,query,4.0182
both,query,4.3052
both,query,2.8469
both,query,4.4797
both,query,3.2102
both,query,5.7923
both,query,3.6852
both,query,3.4085
both,query,6.2735
both,query,2.7166
both,query,3.3737
both,query,3.7739
both,query,5.2971
both,query,8.3082
both,query,4.6417
both,query,3.0296
both,query,9.7789
both,query,2.0399
both,query,1.7137
both,query,3.1686
both,query,8.5739
both,query,5.3639
both,query,6.6688
both,query,4.4584
both,query,4.8930
both,query,4.0371
both,query,3.5129
both,query,4.2019
both,query,6.6119
both,query,4.6631
both,query,8.5405
both,query,9.7491
both,query,4.1233
both,query,6.0404
both,query,7.6606
both,query,8.5505
both,query,7.7194
both,query,6.2703
both,query,4.2610
both,query,11.1166
both,query,4.3189
both,query,2.3220
both,query,6.5284
both,query,4.6785
both,query,6.9761
both,query,3.5177
both,query,6.3915
both,query,6.3102
both,query,4.8931
both,query,4.6260
both,query,13.4871
both,query,3.7867
both,query,3.1865
both,query,2.2815
both,query,6.1209
both,query,4.2665
both,query,5.0372
both,query,2.8827
both,query,2.1511
both,query,3.7668
both,query,4.3592
both,query,3.1746
both,query,3.8283
both,query,4.6925
both,query,2.4582
both,query,2.6177
both,query,4.9625
both,query,3.6255
both,query,4.9240
both,query,5.1842
both,query,5.1957
both,query,5.7049
both,query,7.1410
both,query,3.4970
both,query,2.4956
both,query,12.4640
both,query,4.3080
both,query,5.3889
both,query,5.7399
both,query,3.7833
both,query,2.5827
both,query,8.5142
both,query,7.0722
both,query,2.0435
both,query,9.0026
both,query,3.4235
both,query,3.1209
both,query,1.9294
both,query,7.2828
both,query,6.5963
both,query,5.5300
both,query,5.3404
both,query,2.9354
both,query,3.3825
both,query,10.3667
both,query,8.2040
both,query,13.3040
both,query,1.6934
both,query,6.7940
both,query,4.2852
both,query,7.8901
both,query,2.2358
both,query,4.8616
both,query,4.5649
both,query,1.5463
both,query,3.8276
both,query,4.5469
both,query,3.4493
both,query,7.4867
both,query,3.9514
both,query,3.4497
both,query,3.6192
both,query,7.5019
both,query,4.0287
both,query,3.3217
both,query,4.9009
both,query,2.4571
both,query,2.4121
both,query,3.7689
both,query,4.3220
both,query,8.0560
both,query,4.1320
both,query,4.7701
both,query,6.7606
both,query,2.1949
both,query,5.0690
both,query,4.8301
both,query,5.6187
both,query,5.3471
both,query,4.3356
both,query,2.4865
both,query,5.2708
both,query,5.8521
both,query,8.5908
both,query,5.2196
both,query,6.3330
both,query,6.1542
both,query,3.2997
both,query,3.0938
both,query,4.8881
both,query,6.0510
both,query,5.9328
both,query,1.9256
both,query,3.1080
both,query,5.0833
both,query,6.0817
both,query,3.8710
both,query,8.5115
both,query,4.2269
both,query,2.5809
both,query,10.5823
both,query,4.6076
both,query,2.2732
both,query,5.0921
both,query,5.7724
both,query,5.0698
both,query,4.9253
both,query,2.2795
both,query,3.5540
both,query,4.1674
both,query,3.7210
both,query,5.8826
both,query,2.3891
both,query,3.8494
both,query,4.6418
both,query,6.6907
both,query,4.3511
both,query,3.8949
both,query,3.4428
both,query,6.2285
both,query,6.4065
both,query,5.5540
both,query,1.9139
both,query,8.2543
both,query,1.9702
both,query,4.0455
both,query,18.0134
both,query,4.7322
both,query,12.8235
both,query,1.5879
both,query,4.1959
both,query,1.9661
both,query,3.8289
both,query,8.5146
both,query,4.0667
both,query,4.1669
both,query,2.6014
both,query,1.4471
both,query,8.0301
both,query,4.7346
both,query,4.2968
both,query,2.5543
both,query,4.4774
both,query,4.6498
both,query,3.0878
both,query,3.9286
both,query,4.8330
both,query,4.7919
both,query,3.7814
both,query,4.3595
both,query,4.6963
both,query,4.0862
both,query,3.2664
both,query,3.6789
both,query,20.5626
both,query,4.9479
both,query,3.3592
both,query,5.9167
both,query,7.2939
both,query,5.0287
both,query,4.9376
both,query,3.4666
both,query,13.3960
both,query,5.4105
both,query,3.8865
both,query,7.7945
both,query,2.3749
both,query,5.9047
both,query,5.2408
both,query,5.5433
both,query,10.9101
both,query,5.4199
both,query,4.6927
both,query,5.9046
both,query,5.7997
both,query,7.3649
both,query,6.4426
both,query,5.9209
both,query,5.0914
both,query,4.9877
both,query,3.5135
both,query,3.1032
both,query,3.0266
both,query,3.5720
both,query,6.4159
both,query,3.6713
both,query,9.9169
both,query,2.0997
both,query,5.3864
both,query,8.1059
both,query,5.1536
both,query,2.2415
both,query,4.5528
both,query,1.6101
both,query,4.1354
both,query,4.8868
both,query,6.6714
both,query,2.1699
both,query,4.7652
both,query,4.6949
both,query,5.0048
both,query,9.8728
both,query,5.8742
both,query,2.8488
both,query,2.3175
both,query,6.7765
both,query,5.9496
both,query,3.6569
both,query,7.8469
both,query,1.8215
both,query,5.1572
both,query,6.7208
both,query,12.1476
both,query,5.6277
both,query,3.8675
both,query,5.3324
both,query,4.0860
both,query,6.5185
both,query,2.9116
both,query,4.7198
both,query,5.6745
both,query,5.2620
both,query,3.5536
both,query,4.4970
both,query,4.2905
both,query,2.3710
both,query,4.9470
both,query,2.3819
both,query,10.3734
both,query,5.2246
both,query,2.6080
both,query,2.2443
both,query,5.1714
both,query,9.1985
both,query,3.7806
both,query,3.3095
both,query,2.1982
both,query,4.9075
both,query,11.7279
both,query,6.5881
both,query,2.5889
both,query,4.6511
both,query,3.0007
both,query,3.1403
both,query,4.3766
both,query,3.8546
both,query,2.9699
both,query,7.9271
both,query,7.1742
both,query,5.7441
both,query,5.0639
both,query,5.9102
both,query,4.5849
both,query,3.1806
both,query,3.0978
both,query,4.2398
both,query,5.2372
both,query,5.0882
both,query,6.0001
both,query,4.7711
both,query,7.0060
both,query,6.9975
both,query,3.5092
both,query,21.1005
both,query,11.1264
both,query,4.1494
both,query,4.9758
both,query,6.2282
both,query,3.9305
both,query,3.6416
both,query,5.9599
both,query,3.2183
both,query,5.7367
both,query,3.9269
both,query,2.5353
both,query,4.6917
both,query,3.9516
both,query,6.0951
both,query,2.8938
both,query,6.4355
both,query,6.2092
both,query,4.0529
both,query,7.3691
both,query,4.7142
both,query,3.7541
both,query,5.6107
both,query,4.6737
both,query,4.5625
both,query,3.4732
both,query,2.2503
both,query,4.4758
both,query,3.3788
both,query,5.3557
both,query,4.5242
both,query,8.1422
both,query,5.9918
both,query,4.9514
both,query,6.0040
both,query,5.1968
both,query,5.8797
both,query,5.7432
both,query,10.7972
both,query,9.4539
both,query,10.1579
both,query,5.3359
both,query,4.6682
both,query,4.7592
both,query,3.5377
both,query,4.1824
both,query,2.1421
both,query,6.6982
both,query,5.5200
both,query,5.4328
both,query,4.2765
both,query,4.7016
both,query,4.2926
both,query,5.6458
both,query,6.2639
both,query,5.4351
both,query,4.0118
both,query,4.1257
both,query,4.6941
both,query,3.9045
both,query,6.6662
both,query,3.7925
both,query,1.4532
both,query,3.0310
both,query,2.7008
both,query,13.4407
both,query,2.9252
both,query,29.3609
both,query,9.7932
both,query,7.2541
both,query,5.1192
both,query,4.9837
both,query,1.2557
both,query,1.2316
both,query,1.2852
both,query,9.1440
both,query,5.6206
both,query,1.9340
both,query,3.9615
both,query,7.0411
both,query,5.4870
both,query,10.1002
both,query,4.9822
both,query,1.8327
both,query,3.8511
both,query,3.6755
both,query,3.5846
both,query,4.8957
both,query,5.0471
both,query,2.9353
both,query,3.1168
both,query,15.1767
both,query,4.5715
both,query,2.8113
both,query,3.3854
both,query,3.8445
both,query,3.7129
both,query,4.9709
both,query,6.9121
both,query,2.9053
both,query,22.6883
both,query,7.7378
both,query,5.6952
both,query,6.9962
both,query,5.3422
both,query,7.0671
both,query,2.3710
both,query,5.1708
both,query,5.9550
both,query,6.7669
both,query,8.2606
both,query,6.6027
both,query,2.4533
both,query,5.0047
both,query,3.4855
both,query,7.8530
both,query,5.6260
both,query,2.9194
both,query,4.2734
both,query,7.4188
both,query,6.7353
both,query,5.5852
both,query,4.6119
both,query,4.0592
both,query,7.8712
both,query,4.5673
both,query,3.8370
both,query,3.1010
both,query,4.3485
both,query,2.7126
both,query,7.1017
both,query,2.0184
both,query,5.7725
both,query,5.1049
both,query,5.2345
both,query,2.3718
both,query,5.1899
both,query,6.5393
both,query,8.7632
both,query,3.4248
both,query,6.2725
both,query,3.4618
both,query,5.2121
both,query,4.2576
both,query,5.9655
both,query,4.0088
both,query,4.5906
both,query,2.1573
both,query,2.7291
both,query,4.2532
both,query,3.9903
both,query,4.0009
both,query,7.2202
both,query,3.9209
both,query,6.0659
both,query,9.1089
both,query,4.4926
both,query,4.3606
both,query,3.9109
both,query,4.3425
both,query,2.7652
both,query,5.9271
both,query,3.6667
both,query,4.8307
both,query,4.2296
both,query,6.1046
both,query,4.2687
both,query,4.6927
both,query,3.5166
both,query,3.1154
both,query,2.7500
both,query,3.4510
both,query,2.6418
both,query,3.2558
both,query,4.5464
both,query,7.5155
both,query,2.9888
both,query,4.5758
both,query,5.1179
both,query,6.5333
both,query,1.7728
both,query,7.0700
both,query,3.6561
both,query,4.0936
both,query,2.7532
both,query,4.8868
both,query,3.9759
both,query,6.5331
both,query,4.9920
both,query,2.2198
both,query,2.7223
both,query,4.9755
both,query,3.7011
both,query,6.3152
both,query,5.1800
both,query,1.2348
both,query,8.2651
both,query,4.3762
both,query,4.8400
both,query,2.4233
both,query,2.9102
both,query,2.7868
both,query,8.8335
both,query,3.5732
both,query,5.1129
both,query,6.6366
both,query,3.1322
both,query,2.6519
both,query,4.5230
both,query,3.4102
both,query,3.6100
both,query,5.0473
both,query,5.2871
both,query,6.3861
both,query,5.9710
both,query,5.4483
both,query,6.4574
both,query,7.7487
both,query,5.0682
both,query,3.8364
both,query,4.1268
both,query,4.1504
both,query,2.6101
both,query,3.1760
both,query,2.7620
both,query,3.0604
both,query,2.2600
both,query,2.8576
both,query,5.0544
both,query,4.6060
both,query,5.2860
both,query,5.5682
both,query,8.4797
both,query,5.1355
both,query,5.3522
both,query,2.6024
both,query,5.8791
both,query,2.6672
both,query,2.8758
both,query,4.9924
both,query,6.0692
both,query,2.3890
both,query,5.3047
both,query,4.4764
both,query,2.6781
both,query,4.5043
both,query,4.2512
both,query,12.4648
both,query,3.3111
both,query,4.4018
both,query,5.9128
both,query,9.6911
both,query,4.3539
both,query,5.8336
both,query,10.0388
both,query,5.3854
both,query,6.0469
both,query,3.6956
both,query,5.2373
both,query,3.7086
both,query,6.8523
both,query,5.3289
both,query,6.0306
both,query,5.6895
both,query,3.2233
both,query,4.0594
both,query,2.9411
both,query,3.4225
both,query,4.7711
both,query,5.1126
both,query,3.9454
both,query,6.8844
both,query,1.8528
both,query,3.4095
both,query,1.8804
both,query,9.6413
both,query,8.1574
both,query,2.3719
both,query,3.7353
both,query,8.9805
both,query,2.8575
both,query,6.3267
both,query,4.0229
both,query,6.9925
both,query,4.4674
both,query,9.4951
both,query,5.8001
both,query,4.8353
both,query,2.1419
both,query,3.2977
both,query,2.1648
both,query,3.8051
both,query,5.5453
both,query,3.1718
both,query,4.4002
both,query,4.7083
both,query,4.7546
both,query,4.4105
both,query,3.7092
both,query,3.0216
both,query,3.0862
both,query,3.5683
both,query,5.4012
both,query,2.6911
both,query,5.0947
both,query,6.2878
both,query,4.1418
both,query,4.0960
both,query,6.3399
both,query,6.6466
both,query,4.1218
both,query,2.9631
both,query,4.8882
both,query,2.5382
both,query,3.7799
both,query,4.5345
both,query,6.0059
both,query,6.8827
both,query,4.7344
both,query,4.2415
both,query,4.6861
both,query,5.1690
both,query,3.7698
both,query,10.7428
both,query,5.0596
both,query,4.2369
both,query,3.3151
both,query,3.8346
both,query,1.7550
both,query,3.7808
both,query,4.5144
both,query,2.3503
both,query,3.6274
both,query,5.5871
both,query,3.4998
both,query,5.9700
both,query,7.9664
both,query,6.5093
both,query,4.7681
both,query,6.9690
both,query,4.9806
both,query,7.7310
both,query,5.9903
both,query,2.6224
both,query,6.4234
both,query,4.1340
both,query,7.9282
both,query,4.7469
both,query,4.8909
both,query,4.8915
both,query,4.1679
both,query,5.2417
both,query,3.3127
both,query,5.7876
both,query,3.7702
both,query,7.0502
both,query,4.1796
both,query,1.1997
both,query,3.3535
both,query,1.6257
both,query,1.8806
both,query,4.9254
both,query,7.1435
both,query,4.2465
both,query,3.5757
both,query,3.5398
both,query,4.8981
both,query,2.9782
both,query,3.2180
both,query,5.2913
both,query,3.5600
both,query,5.1342
both,query,2.3166
both,query,1.9702
both,query,1.8186
both,query,9.0379
both,query,3.0827
both,query,5.6818
both,query,2.9480
both,query,7.4175
both,query,4.4839
both,query,4.2066
both,query,3.9981
both,query,3.1935
both,query,8.8768
both,query,2.2229
both,query,5.7137
both,query,4.4358
both,query,2.5837
both,query,3.2899
both,query,8.2703
both,query,3.2342
both,query,3.1488
both,query,2.3465
both,query,4.5715
both,query,5.8160
both,query,17.0382
both,query,8.5963
both,query,6.7747
both,query,8.2186
both,query,16.4873
both,query,4.3870
both,query,3.3438
both,query,11.4739
both,query,5.5980
both,query,7.5278
both,query,7.0581
both,query,3.2719
both,query,3.3831
both,query,5.5083
both,query,6.7169
both,query,3.2394
both,query,4.8963
both,query,4.9795
both,query,9.4511
both,query,3.5089
both,query,4.1660
both,query,4.1267
both,query,9.6160
both,query,6.1643
both,query,6.9883
both,query,4.0874
both,query,6.6132
both,query,3.6753
both,query,7.1371
both,query,8.1672
both,query,5.1989
both,query,3.6598
both,query,3.3523
both,query,2.7831
both,query,3.9291
both,query,5.1801
both,query,5.1535
both,query,6.2890
both,query,7.2230
both,query,6.6237
both,query,20.1176
both,query,2.4603
both,query,6.0483
both,query,6.7616
both,query,4.1597
both,query,3.9790
both,query,5.0737
both,query,3.9687
both,query,5.1233
both,query,5.5198
both,query,3.8004
both,query,4.7331
both,query,6.1953
both,query,4.0976
both,query,4.8098
both,query,2.7532
both,query,4.6773
both,query,5.2252
both,query,2.9271
both,query,3.6079
both,query,4.9503
both,query,4.0503
both,query,3.6626
both,query,3.3161
both,query,2.3883
both,query,6.0829
both,query,9.4342
both,query,4.1446
both,query,2.2780
both,query,1.9672
both,query,4.4549
both,query,2.7820
both,query,2.9118
both,query,2.8454
both,query,7.3831
both,query,5.8815
both,query,3.1930
both,query,5.4275
both,query,2.8427
both,query,3.8706
both,query,3.9415
both,query,5.0799
both,query,5.3116
both,query,8.4782
both,query,1.7926
both,query,7.0193
both,query,2.8547
both,query,4.8349
both,query,6.1801
both,query,4.4897
both,query,4.0712
both,query,6.2056
both,query,6.3076
both,query,4.1659
both,query,2.4732
both,query,3.4321
both,query,3.7706
both,query,4.6111
both,query,5.4952
both,query,7.9639
both,query,5.5898
both,query,10.2339
both,query,3.8194
both,query,5.3495
both,query,5.3318
both,query,2.2196
both,query,5.1513
both,query,5.3377
both,query,3.7746
both,query,8.3007
both,query,2.7039
both,query,9.4207
both,query,3.2471
both,query,7.3396
both,query,2.6801
both,query,4.6174
both,query,5.8029
both,query,4.2015
both,query,3.8314
both,query,4.7040
both,query,3.6962
both,query,2.3298
both,query,4.0495
both,query,3.7256
both,query,7.1939
both,query,6.7043
both,query,4.4670
both,query,3.9714
both,query,8.7945
both,query,4.2379
both,query,4.4236
both,query,9.2577
both,query,10.0890
both,query,4.1594
both,query,3.2354
both,query,4.4251
both,query,3.6645
both,query,1.6343
both,query,7.8273
both,query,2.5424
both,query,8.0325
both,query,8.4607
both,query,3.2309
both,query,4.6135
both,query,4.5511
both,query,2.6082
both,query,6.5494
both,query,4.0137
both,query,4.5483
both,query,4.5873
both,query,4.2568
both,query,4.1224
both,query,5.1421
both,query,6.0638
both,query,5.2179
both,query,8.1737
both,query,5.1850
both,query,13.4413
both,query,4.5664
both,query,5.9036
both,query,5.3378
both,query,4.6208
both,query,4.1915
both,query,5.6265
both,query,2.1059
both,query,2.1018
both,query,10.3911
both,query,4.7729
both,query,6.2326
both,query,2.3548
both,query,7.1777
both,query,7.7321
both,query,5.3699
both,query,8.9217
both,query,3.1269
both,query,3.5099
both,query,3.7639
both,query,2.9416
both,query,4.5934
both,query,3.2737
both,query,2.9756
both,query,2.9393
both,query,3.9188
both,query,3.7549
both,query,4.8722
both,query,4.2869
both,query,5.2562
both,query,7.2201
both,query,2.6805
both,query,6.3088
both,query,5.4047
both,query,2.9322
both,query,2.2789
both,query,3.0361
both,query,6.1453
both,query,1.9165
both,query,5.2538
both,query,2.9214
both,query,6.8848
both,query,1.5031
both,query,2.2902
both,query,7.6619
both,query,1.8116
both,query,3.3486
both,query,2.5414
both,query,2.8818
both,query,3.7739
both,query,7.2110
both,query,4.4710
both,query,6.7568
both,query,2.6679
both,query,5.4479
both,query,6.3613
both,query,12.5438
both,query,5.4440
both,query,4.1670
both,query,3.1348
both,query,3.4583
both,query,2.6935
both,query,3.5242
both,query,5.2242
both,query,5.6009
both,query,9.6448
both,query,5.3086
both,query,7.4172
both,query,5.0337
both,query,4.6528
both,query,6.3428
both,query,2.9395
both,query,5.5377
both,query,6.3084
both,query,3.0049
both,query,7.0175
both,query,5.7623
both,query,6.2938
both,query,3.5807
both,query,5.0002
both,query,4.4619
both,query,6.6208
both,query,4.9902
both,query,5.4431
both,query,7.8668
both,query,5.2278
both,query,4.9188
both,query,3.9624
both,query,10.7056
both,query,8.1567
both,query,4.0997
both,query,4.2774
both,query,3.8072
both,query,4.4744
both,query,4.3302
both,query,8.3139
both,query,5.5073
both,query,4.9073
both,query,3.8537
both,query,3.7690
both,query,6.8100
both,query,4.5461
both,query,3.7603
both,query,5.4763
both,query,4.0653
both,query,4.1695
both,query,4.8427
both,query,2.5184
both,query,3.8981
both,query,5.4974
both,query,39.3603
both,query,1.4773
both,query,4.8720
both,query,3.2470
both,query,6.6377
both,query,3.0121
both,query,3.8310
both,query,2.7940
both,query,2.9461
both,query,1.4256
both,query,3.0084
both,query,2.2570
both,query,6.1681
both,query,4.5694
both,query,1.6030
both,query,3.5917
both,query,3.8806
both,query,5.0793
both,query,6.5903
both,query,6.8867
both,query,10.3030
both,query,4.5452
both,query,6.0656
both,query,7.8991
both,query,4.5592
both,query,2.3369
both,query,4.2600
both,query,5.2494
both,query,2.3863
both,query,4.2333
both,query,2.0264
both,query,7.0929
both,query,3.9738
both,query,10.1480
both,query,6.7386
both,query,1.7622
both,query,4.0578
both,query,2.4190
both,query,10.3915
both,query,4.7173
both,query,8.8856
both,query,4.0700
both,query,5.0410
both,query,3.3091
both,query,6.0345
both,query,3.9587
both,query,4.9897
both,query,15.4798
both,query,2.4674
both,query,3.4817
both,query,4.0286
both,query,3.8258
both,query,2.3804
both,query,3.1328
both,query,4.1252
both,query,4.7167
both,query,3.1067
both,query,4.0913
both,query,4.6899
both,query,3.3896
both,query,7.5017
both,query,8.3406
both,query,6.4657
both,query,3.5862
both,query,5.1256
both,query,2.1537
both,query,2.4817
both,query,5.0347
both,query,2.6017
both,query,4.5726
both,query,6.7399
both,query,6.7984
both,query,3.1297
both,query,15.2694
both,query,18.4389
both,query,4.2507
both,query,2.9851
both,query,1.8644
both,query,2.0411
both,query,9.4381
both,query,5.6697
both,query,4.7968
both,query,4.5436
both,query,2.9605
both,query,6.9926
both,query,5.7361
both,query,4.8926
both,query,4.1055
both,query,4.8252
both,query,21.1744
both,query,3.6556
both,query,3.6181
both,query,3.6934
both,query,4.7069
both,query,3.7221
both,query,4.9794
both,query,1.6603
both,query,1.6096
both,query,6.1927
both,query,4.1226
both,query,4.2419
both,query,2.5548
both,query,4.4820
both,query,3.2383
both,query,8.5327
both,query,3.7385
both,query,9.4802
both,query,2.5987
both,query,4.6273
both,query,1.4997
both,query,6.0345
both,query,3.1056
both,query,9.0332
both,query,3.4592
both,query,2.5646
both,query,3.3794
both,query,4.1537
both,query,4.4965
both,query,5.7880
both,query,3.9374
both,query,1.9000
both,query,3.0628
both,query,2.9457
both,query,6.4029
both,query,2.2853
both,query,3.6047
both,query,3.3671
both,query,6.6954
both,query,13.9013
both,query,2.2525
both,query,3.7056
both,query,3.5309
both,query,3.3301
both,query,7.5857
both,query,7.0562
both,query,2.7409
both,query,4.2841
both,query,4.2681
both,query,4.6309
both,query,15.0105
both,query,4.1391
both,query,4.2032
both,query,4.7220
both,query,5.3808
both,query,3.7137
both,query,6.5982
both,query,6.2602
both,query,2.5641
both,query,4.0569
both,query,5.4381
both,query,1.5505
both,query,2.6782
both,query,5.2410
both,query,5.7006
both,query,5.4332
both,query,3.3504
both,query,5.0065
both,query,2.4687
both,query,3.6924
both,query,4.9247
both,query,6.3093
both,query,2.5216
both,query,8.2402
both,query,4.3122
both,query,3.9602
