phase,measure,ms
both,query,4.3494
both,query,4.6411
both,query,7.2054
both,query,5.1324
both,query,5.0434
both,query,8.1646
both,query,7.5633
both,query,3.8986
both,query,2.4244
both,query,4.4855
both,query,8.5516
both,query,1.7978
both,query,5.7748
both,query,3.5654
both,query,1.7869
both,query,8.5446
both,query,1.9441
both,query,4.0388
both,query,4.4166
both,query,3.9518
both,query,13.1525
both,query,7.0098
both,query,4.8353
both,query,3.6644
both,query,1.9434
both,query,5.4740
both,query,2.6500
both,query,4.0452
both,query,9.7111
both,query,4.7030
both,query,5.7151
both,query,4.8379
both,query,2.7254
both,query,4.0704
both,query,5.9141
both,query,3.8601
both,query,5.8223
both,query,5.2382
both,query,3.7077
both,query,6.2871
both,query,2.9189
both,query,9.6298
both,query,3.6563
both,query,6.5659
both,query,8.3115
both,query,6.3018
both,query,4.8559
both,query,5.2377
both,query,6.5038
both,query,3.5790
both,query,5.4267
both,query,2.8800
both,query,9.2378
both,query,1.6048
both,query,4.6090
both,query,4.8204
both,query,3.3376
both,query,2.4962
both,query,3.2012
both,query,6.2345
both,query,5.1725
both,query,3.8714
both,query,3.6758
both,query,3.6211
both,query,6.2360
both,query,2.3831
both,query,4.0035
both,query,4.0643
both,query,2.5266
both,query,5.2531
both,query,6.3115
both,query,2.8727
both,query,5.7996
both,query,11.5696
both,query,3.1515
both,query,5.0633
both,query,3.3034
both,query,6.4450
both,query,11.7289
both,query,4.4093
both,query,6.2026
both,query,3.1361
both,query,2.6821
both,query,3.6639
both,query,3.3225
both,query,2.6753
both,query,8.2679
both,query,1.6830
both,query,16.1615
both,query,1.7907
both,query,2.1716
both,query,3.6253
both,query,6.6898
both,query,3.7268
both,query,5.5372
both,query,4.7873
both,query,5.4317
both,query,2.4904
both,query,5.4332
both,query,3.0055
both,query,5.3704
both,query,23.3721
both,query,3.6752
both,query,4.6446
both,query,3.8602
both,query,4.4338
both,query,1.6823
both,query,2.7067
both,query,4.0450
both,query,1.8451
both,query,5.6643
both,query,4.8570
both,query,3.8339
both,query,4.1879
both,query,5.2948
both,query,4.0981
both,query,4.7521
both,query,5.8220
both,query,5.0672
both,query,5.8954
both,query,5.4441
both,query,4.2772
both,query,5.8141
both,query,5.3813
both,query,3.6812
both,query,5.3883
both,query,5.0019
both,query,11.0890
both,query,2.0645
both,query,1.9852
both,query,4.5794
both,query,6.3192
both,query,3.6442
both,query,2.6873
both,query,2.7555
both,query,3.4684
both,query,6.0003
both,query,1.4219
both,query,4.7641
both,query,3.1448
both,query,13.0503
both,query,6.2177
both,query,5.3452
both,query,5.9419
both,query,3.4631
both,query,2.8756
both,query,6.9335
both,query,2.6129
both,query,4.5450
both,query,2.3042
both,query,3.7868
both,query,3.9477
both,query,3.9683
both,query,4.0562
both,query,4.7948
both,query,5.0259
both,query,4.4262
both,query,3.5495
both,query,3.9998
both,query,3.1897
both,query,4.2522
both,query,4.3643
both,query,4.3446
both,query,2.9230
both,query,12.0922
both,query,2.1464
both,query,5.7752
