phase,measure,ms
both,query,9.8075
both,query,8.9993
both,query,5.8643
both,query,5.0803
both,query,19.5195
both,query,6.3685
both,query,5.1470
both,query,5.1114
both,query,2.3596
both,query,2.3386
both,query,5.9653
both,query,5.8768
both,query,4.9639
both,query,3.0716
both,query,6.7275
both,query,4.0874
both,query,5.7025
both,query,3.7389
both,query,2.4652
both,query,2.2241
both,query,4.9865
both,query,3.1408
both,query,4.6100
both,query,3.6262
both,query,3.4530
both,query,1.9243
both,query,6.1334
both,query,2.1624
both,query,6.0127
both,query,4.0779
both,query,3.2778
both,query,3.8766
both,query,5.3727
both,query,7.3536
both,query,4.8483
both,query,4.3221
both,query,22.8004
both,query,3.1538
both,query,2.9947
both,query,5.5274
both,query,5.0512
both,query,5.1167
both,query,3.7070
both,query,4.8425
both,query,5.1960
both,query,2.2644
both,query,1.6109
both,query,1.8992
both,query,6.3629
both,query,9.6030
both,query,3.6136
both,query,2.2617
both,query,3.6182
both,query,11.1583
both,query,6.1071
both,query,24.8878
both,query,3.4396
both,query,4.3004
both,query,2.3154
both,query,2.4627
both,query,1.7640
both,query,7.4371
both,query,4.4439
both,query,6.0558
both,query,5.3896
both,query,7.0613
both,query,3.3332
both,query,5.5477
both,query,2.5164
both,query,3.9766
both,query,4.6247
both,query,5.8580
both,query,11.3630
both,query,3.1130
both,query,3.2909
both,query,8.9490
both,query,2.6891
both,query,3.2697
both,query,5.1062
both,query,6.1153
both,query,4.6563
both,query,3.8921
both,query,3.0288
both,query,3.1110
both,query,4.1157
both,query,6.5059
both,query,5.3250
both,query,6.5462
both,query,7.9272
both,query,4.0198
both,query,5.0511
both,query,4.3047
both,query,4.2923
both,query,2.9962
both,query,3.6985
both,query,3.5336
both,query,5.3293
both,query,6.4268
both,query,2.1459
both,query,3.5011
both,query,13.7560
both,query,6.3712
both,query,8.1267
both,query,4.1425
both,query,4.6074
both,query,5.1381
both,query,2.5857
both,query,4.6432
both,query,3.5795
both,query,3.2540
both,query,8.3902
both,query,4.0554
both,query,7.4280
both,query,6.0202
both,query,2.5741
both,query,5.8686
both,query,16.4178
both,query,5.2151
both,query,7.8690
both,query,5.6530
both,query,2.1054
both,query,4.3975
both,query,5.4801
both,query,3.5184
both,query,5.9258
both,query,5.8409
both,query,5.0246
both,query,13.1420
both,query,5.6810
both,query,2.9534
both,query,4.8651
both,query,4.8553
both,query,5.3784
both,query,6.0772
both,query,5.7256
both,query,2.3915
both,query,3.1027
both,query,4.9174
both,query,5.1088
both,query,14.5649
both,query,3.0297
both,query,4.0998
both,query,5.8197
both,query,7.6491
both,query,4.4337
both,query,4.3888
both,query,9.3424
both,query,5.8960
both,query,3.1064
both,query,13.7014
both,query,2.6579
both,query,8.1827
