phase,measure,ms
both,query,1.2938
both,query,2.9477
both,query,8.5284
both,query,2.8480
both,query,2.8195
both,query,7.1158
both,query,3.6049
both,query,3.8991
both,query,7.0528
both,query,3.4868
both,query,4.5704
both,query,6.2534
both,query,5.5370
both,query,7.6076
both,query,10.3639
both,query,9.8826
both,query,5.4856
both,query,5.3152
both,query,5.9885
both,query,4.3071
both,query,4.1499
both,query,7.1769
both,query,5.0465
both,query,9.0754
both,query,7.4612
both,query,4.3291
both,query,16.2452
both,query,5.2321
both,query,4.2835
both,query,4.5905
both,query,2.4041
both,query,5.9635
both,query,7.4692
both,query,2.8785
both,query,4.5377
both,query,15.5328
both,query,6.1150
both,query,5.4735
both,query,4.2905
both,query,2.6432
both,query,3.3663
both,query,1.8732
both,query,7.5666
both,query,3.5533
both,query,2.7024
both,query,3.7959
both,query,3.4908
both,query,6.6596
both,query,9.2048
both,query,2.4615
both,query,3.7825
both,query,3.3534
both,query,3.8860
both,query,4.9798
both,query,4.7405
both,query,4.0294
both,query,4.3543
both,query,7.0238
both,query,5.5688
both,query,1.9399
both,query,5.6719
both,query,3.0019
both,query,5.9399
both,query,5.2535
both,query,3.9848
both,query,3.6882
both,query,3.8488
both,query,4.6483
both,query,4.3197
both,query,5.3858
both,query,1.3368
both,query,3.3250
both,query,4.1577
both,query,2.7750
both,query,5.0244
both,query,1.7159
both,query,13.5750
both,query,2.3738
both,query,1.6676
both,query,6.6298
both,query,5.2190
both,query,2.3553
both,query,4.8830
both,query,1.8188
both,query,4.3635
both,query,4.1314
both,query,5.0207
both,query,4.3950
both,query,3.9111
both,query,2.8776
both,query,3.1828
both,query,4.0304
both,query,2.3713
both,query,3.5092
both,query,3.6603
both,query,1.9048
both,query,2.7742
both,query,3.1565
both,query,1.2163
both,query,1.0654
both,query,5.3370
both,query,3.2057
both,query,53.9934
both,query,8.1766
both,query,3.4203
both,query,4.2114
both,query,5.6771
both,query,6.3242
both,query,4.9325
both,query,6.0129
both,query,4.3078
both,query,5.4076
both,query,7.0322
both,query,6.2045
both,query,2.3488
both,query,3.3533
both,query,4.7504
both,query,2.2899
both,query,3.6857
both,query,8.3693
both,query,3.2048
both,query,7.2599
both,query,5.1517
both,query,4.5752
both,query,2.9162
both,query,3.7946
both,query,2.7556
both,query,7.7077
both,query,5.4274
both,query,3.5934
both,query,6.5644
both,query,4.9003
both,query,5.1913
both,query,2.8898
both,query,2.8053
both,query,6.5788
both,query,6.7077
both,query,2.4190
both,query,3.4086
both,query,4.6818
both,query,2.0953
both,query,4.7810
both,query,6.9882
both,query,11.1757
both,query,5.7058
both,query,8.7311
both,query,3.7949
both,query,4.2321
both,query,2.2382
both,query,12.1552
both,query,3.7823
both,query,6.8645
both,query,4.3547
both,query,4.2801
both,query,7.3376
both,query,3.0390
both,query,7.3650
both,query,2.1136
both,query,2.2472
both,query,5.5532
both,query,6.9982
both,query,7.9320
both,query,3.4973
both,query,3.8058
both,query,8.3837
both,query,20.2656
both,query,3.1056
both,query,17.3818
both,query,7.5732
both,query,3.7660
both,query,6.8387
both,query,1.6842
both,query,5.3177
both,query,5.8973
both,query,5.0305
both,query,3.1639
both,query,3.1373
both,query,8.7846
both,query,8.7305
both,query,5.7625
both,query,4.0907
both,query,5.2520
both,query,2.8014
both,query,4.5278
both,query,3.7642
both,query,3.6721
both,query,3.6018
both,query,5.8173
both,query,3.4457
both,query,3.4828
both,query,1.9889
both,query,4.7559
both,query,3.8457
both,query,3.1701
both,query,4.1888
both,query,1.5399
both,query,5.2081
both,query,1.5262
both,query,1.8700
both,query,1.3150
both,query,5.7465
both,query,12.5618
both,query,3.2389
both,query,2.4752
both,query,2.2632
both,query,4.0910
both,query,2.0495
both,query,3.0360
both,query,5.5082
both,query,5.8635
both,query,3.8503
both,query,3.8480
both,query,5.3501
both,query,3.4159
both,query,7.9569
both,query,2.7037
both,query,1.4836
both,query,4.1439
both,query,3.1659
both,query,1.7700
both,query,1.6233
both,query,1.6348
both,query,1.4926
both,query,2.9966
both,query,14.5634
both,query,4.4744
both,query,3.0132
both,query,2.9297
both,query,3.6175
both,query,4.6849
both,query,4.3787
both,query,17.7851
both,query,8.2079
both,query,5.6329
both,query,4.4418
both,query,4.6224
both,query,2.3065
both,query,5.5455
both,query,7.3963
both,query,2.8032
both,query,4.2312
both,query,9.6617
both,query,8.6058
both,query,7.4434
both,query,3.5947
both,query,4.9701
both,query,3.7524
both,query,5.5070
both,query,3.5753
both,query,2.8282
both,query,4.6219
both,query,9.6049
both,query,8.2381
both,query,7.2037
both,query,8.4460
both,query,4.4742
both,query,7.3608
both,query,19.7034
both,query,4.3407
both,query,4.4537
both,query,2.1780
both,query,7.0938
both,query,2.4712
both,query,3.8518
both,query,9.9699
both,query,11.4174
both,query,3.7252
both,query,11.5649
both,query,4.4239
both,query,6.6462
both,query,5.5629
both,query,1.2551
both,query,2.8348
both,query,2.4715
both,query,7.3771
both,query,2.7424
both,query,3.4164
both,query,4.5271
both,query,7.4805
both,query,3.0312
both,query,4.5991
both,query,4.3559
both,query,5.0630
both,query,3.2783
both,query,2.5065
both,query,4.2958
both,query,18.8191
both,query,8.6274
both,query,10.8069
both,query,4.6017
both,query,6.5312
both,query,6.8089
both,query,3.4870
both,query,5.3705
both,query,3.4783
both,query,3.8899
both,query,4.3325
both,query,2.9794
both,query,3.2008
both,query,3.5014
both,query,4.3910
both,query,3.2540
both,query,4.2343
both,query,3.7430
both,query,2.7672
both,query,3.8810
both,query,2.1077
both,query,2.2199
both,query,4.3395
both,query,6.0792
both,query,3.3737
both,query,6.1586
both,query,6.9979
both,query,6.8547
both,query,4.3476
both,query,4.4192
both,query,5.8135
both,query,11.2912
both,query,6.6190
both,query,6.1386
both,query,2.9686
both,query,3.4789
both,query,4.9976
both,query,3.2033
both,query,6.0423
both,query,5.7355
both,query,8.2852
both,query,9.1260
both,query,2.5478
both,query,3.3177
both,query,3.4152
